park,parkLabel,countryLabel,continentLabel,areaKm2,inceptionYear,elevation,coord,instanceType,instanceTypeLabel,visitors,year_x,followers,year_y
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,378855,2010.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,378855,2010.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,378855,2010.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,1201,1940.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,1201,1940.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,1201,1940.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,1201,1940.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,22500,1960.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,22500,1960.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,22500,1960.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,22500,1960.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,46000,1970.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,46000,1970.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,46000,1970.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,46000,1970.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,594660,2018.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,594660,2018.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,594660,2018.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,594660,2018.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,601152,2019.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,601152,2019.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,601152,2019.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,601152,2019.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,546693,1990.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,546693,1990.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,546693,1990.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,546693,1990.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,54850,2020.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,54850,2020.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,54850,2020.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,54850,2020.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,6672,1950.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,6672,1950.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,6672,1950.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,6672,1950.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,216361,1980.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,216361,1980.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,216361,1980.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q17343829,невключённая община в США,216361,1980.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,363983,2000.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,363983,2000.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,363983,2000.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,363983,2000.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,951,1930.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,951,1930.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,951,1930.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,951,1930.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,378855,2010.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,378855,2010.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,378855,2010.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,378855,2010.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,1201,1940.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q34918903,национальный парк США,1201,1940.0,101569.0,2023.0
